,Hotel_Name,Review,Total_Review,Rating,Location
0,Oakwood Residence Midtown East,Superb ,28 reviews,9.1,"Murray Hill, New York"
1,Murray Hill East Suites,Good ,52 reviews,7.6,"Murray Hill, New York"
2,The Herald 8 by LuxUrban,Good ,"2,870 reviews",7.8,"Manhattan, New York"
3,"The Cloud One New York-Downtown, by the Motel One Group",Very good ,975 reviews,8.3,"Wall Street - Financial District, New York"
4,Pod Times Square,Very good ,"13,951 reviews",8.1,"Hell's Kitchen, New York"
5,West Side YMCA,Review score ,"8,044 reviews",6.6,"Upper West Side, New York"
6,Hyatt Place New York City/Times Square,Good ,"16,148 reviews",7.6,"Hell's Kitchen, New York"
7,The Tuscany Powered by LuxUrban,Good ,343 reviews,7.5,"Murray Hill, New York"
8,Hilton Garden Inn New York Central Park South-Midtown West,Good ,"6,038 reviews",7.1,"Manhattan, New York"
9,"Crowne Plaza Times Square Manhattan, an IHG Hotel",Good ,"2,028 reviews",7.7,"Manhattan, New York"
10,"The New Yorker, A Wyndham Hotel",Good ,"9,659 reviews",7.7,"Hell's Kitchen, New York"
11,The Manhattan at Times Square,Review score ,"4,435 reviews",5.6,"Manhattan, New York"
12,Riu Plaza Manhattan Times Square,Fabulous ,"7,298 reviews",8.6,"Manhattan, New York"
13,Hotel Edison Times Square,Good ,"11,455 reviews",7.3,"Manhattan, New York"
14,Paramount Hotel Times Square,Review score ,"2,802 reviews",6.5,"Manhattan, New York"
15,Courtyard by Marriott Times Square West,Very good ,"1,847 reviews",8.2,"Hell's Kitchen, New York"
16,Four Points by Sheraton New York Downtown,Good ,"2,189 reviews",7.2,"Wall Street - Financial District, New York"
17,Courtyard New York Downtown Manhattan/Financial District,Good ,703 reviews,7.3,"Wall Street - Financial District, New York"
18,DoubleTree by Hilton Hotel New York City - Chelsea,Good ,"1,382 reviews",7.3,"Chelsea, New York"
19,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Good ,"4,646 reviews",7.7,"Hell's Kitchen, New York"
20,Home2 Suites By Hilton New York Times Square,Very good ,951 reviews,8.0,"Manhattan, New York"
21,Hilton Garden Inn New York/Midtown Park Avenue,Very good ,"4,498 reviews",8.1,"Manhattan, New York"
22,SpringHill Suites by Marriott New York Manhattan Chelsea,Very good ,"1,475 reviews",8.5,"Chelsea, New York"
23,CIVILIAN Hotel,Good ,"6,245 reviews",7.0,"Hell's Kitchen, New York"
24,Millennium Hotel Broadway Times Square,Superb ,28 reviews,9.1,"Manhattan, New York"
25,Oakwood Residence Midtown East,Good ,52 reviews,7.6,"Murray Hill, New York"
26,Murray Hill East Suites,Good ,"2,870 reviews",7.8,"Murray Hill, New York"
27,The Herald 8 by LuxUrban,Very good ,975 reviews,8.3,"Manhattan, New York"
28,"The Cloud One New York-Downtown, by the Motel One Group",Very good ,"13,951 reviews",8.1,"Wall Street - Financial District, New York"
29,Pod Times Square,Review score ,"8,044 reviews",6.6,"Hell's Kitchen, New York"
30,West Side YMCA,Good ,"16,148 reviews",7.6,"Upper West Side, New York"
31,Hyatt Place New York City/Times Square,Good ,343 reviews,7.5,"Hell's Kitchen, New York"
32,The Tuscany Powered by LuxUrban,Good ,"6,038 reviews",7.1,"Murray Hill, New York"
33,Hilton Garden Inn New York Central Park South-Midtown West,Good ,"2,028 reviews",7.7,"Manhattan, New York"
34,"Crowne Plaza Times Square Manhattan, an IHG Hotel",Good ,"9,659 reviews",7.7,"Manhattan, New York"
35,"The New Yorker, A Wyndham Hotel",Review score ,"4,435 reviews",5.6,"Hell's Kitchen, New York"
36,The Manhattan at Times Square,Fabulous ,"7,298 reviews",8.6,"Manhattan, New York"
37,Riu Plaza Manhattan Times Square,Good ,"11,455 reviews",7.3,"Manhattan, New York"
38,Hotel Edison Times Square,Review score ,"2,802 reviews",6.5,"Manhattan, New York"
39,Paramount Hotel Times Square,Very good ,"1,847 reviews",8.2,"Manhattan, New York"
40,Courtyard by Marriott Times Square West,Good ,"2,189 reviews",7.2,"Hell's Kitchen, New York"
41,Four Points by Sheraton New York Downtown,Good ,703 reviews,7.3,"Wall Street - Financial District, New York"
42,Courtyard New York Downtown Manhattan/Financial District,Good ,"1,382 reviews",7.3,"Wall Street - Financial District, New York"
43,DoubleTree by Hilton Hotel New York City - Chelsea,Good ,"4,646 reviews",7.7,"Chelsea, New York"
44,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Very good ,951 reviews,8.0,"Hell's Kitchen, New York"
45,Home2 Suites By Hilton New York Times Square,Very good ,"4,498 reviews",8.1,"Manhattan, New York"
46,Hilton Garden Inn New York/Midtown Park Avenue,Very good ,"1,475 reviews",8.5,"Manhattan, New York"
47,SpringHill Suites by Marriott New York Manhattan Chelsea,Good ,"6,245 reviews",7.0,"Chelsea, New York"
48,CIVILIAN Hotel,Good ,"5,866 reviews",7.5,"Hell's Kitchen, New York"
49,Millennium Hotel Broadway Times Square,Very good ,959 reviews,8.3,"Manhattan, New York"
50,Element Times Square West,Very good ,"1,876 reviews",8.0,"Hell's Kitchen, New York"
51,The Gotham Hotel,Very good ,848 reviews,8.3,"Midtown East, New York"
52,The Manhattan Club,Good ,"3,097 reviews",7.9,"Manhattan, New York"
53,Courtyard by Marriott New York Manhattan/Chelsea,Very good ,"3,477 reviews",8.1,"Chelsea, New York"
54,Leo House,Very good ,"1,648 reviews",8.5,"Chelsea, New York"
55,Residence Inn by Marriott New York Manhattan/Times Square,Review score ,46 reviews,5.9,"Manhattan, New York"
56,AC Hotel by Marriott New York Downtown,Fabulous ,"2,289 reviews",8.8,"Wall Street - Financial District, New York"
57,The Home Hotel Powered by LuxUrban,Very good ,148 reviews,8.1,"Hell's Kitchen, New York"
58,citizenM New York Bowery,Very good ,664 reviews,8.3,"Lower East Side, New York"
59,Hilton New York Times Square,Good ,"1,867 reviews",7.9,"Manhattan, New York"
60,Iberostar 70 Park Avenue,Very good ,"1,067 reviews",8.0,"Murray Hill, New York"
